title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
ford focus,988,111479,2005,2,petrol,hatchback,1.6,manual,3,5,3,unknown
bmw 3 series,1389,80000,2000,3,petrol,saloon,1.9,manual,4,5,3,unknown
mini hatch,1395,99911,2003,4,petrol,hatchback,1.6,manual,3,4,3,unknown
mini hatch,2490,46000,2007,3,petrol,hatchback,1.6,manual,3,4,4,unknown
vauxhall astra,2895,120000,2014,3,petrol,hatchback,1.6,manual,5,5,5,full
vauxhall antara,3289,79000,2012,3,diesel,suv,2.2,manual,5,5,5,unknown
vauxhall insignia,3799,114000,2014,3,petrol,hatchback,1.8,manual,5,5,5,full
peugeot 207,2945,66000,2008,3,petrol,hatchback,1.6,automatic,5,5,4,unknown
nissan note,2499,65000,2009,3,petrol,hatchback,1.4,manual,5,5,4,unknown
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
kia sportage,10198,50028,2016,3,petrol,suv,1.6,manual,5,5,6,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
seat ibiza,2799,99061,2011,3,petrol,hatchback,1.2,manual,3,5,5,unknown
mercedes-benz a class,995,184000,2009,3,diesel,hatchback,2.0,manual,5,5,4,unknown
bmw 5 series,2950,139000,2004,3,petrol,saloon,3.0,automatic,4,5,3,unknown
honda cr-v,1389,120000,1999,3,petrol,suv,2.0,automatic,5,5,3,unknown
proton savvy,990,85000,2007,3,petrol,hatchback,1.2,manual,5,4,4,unknown
vauxhall corsa,1850,93000,2009,4,petrol,hatchback,1.4,manual,5,5,4,unknown
peugeot 207,1990,51116,2008,3,petrol,hatchback,1.4,manual,5,5,4,unknown
mini hatch,2695,69000,2005,3,petrol,hatchback,1.6,manual,3,4,3,unknown
nissan micra,1895,111998,2007,2,petrol,hatchback,1.2,automatic,3,5,4,unknown
vauxhall astra,1995,93101,2008,6,petrol,hatchback,1.6,manual,5,5,4,unknown
ford focus,2950,105000,2011,3,petrol,hatchback,1.6,manual,5,5,5,unknown
mini hatch,10000,46923,2017,3,petrol,hatchback,1.5,manual,3,4,6,unknown
